Name,Date,LowerWindow,UpperWindow
Valentine's Day,2/14/2020,5,5
Presidents' Day,2/17/2020,2,2
St. Patrick's Day,3/17/2020,2,2
Easter Day,4/12/2020,2,2
Tax Day,4/15/2020,5,5
Administrative Professionals Day,4/22/2020,2,2
Mother's Day,5/10/2020,5,5
Memorial Day,5/25/2020,2,2
Father's Day,6/21/2020,2,2
Independence Day,7/4/2020,5,5
Labor Day,9/7/2020,2,2
Columbus Day,10/12/2020,2,2
Halloween,10/31/2020,5,5
Election Day,11/3/2020,2,2
Veteran's Day,11/11/2020,2,2
Thanksgiving Day,11/26/2020,10,10
Day After Thanksgiving Day,11/27/2020,10,10
Christmas Day,12/25/2020,10,5
New Year's Day,1/1/2021,1,5
Martin Luther King Day,1/18/2021,2,2
Groundhog Day,2/2/2021,2,2
Valentine's Day,2/14/2021,5,5
Presidents' Day,2/15/2021,2,2
St. Patrick's Day,3/17/2021,2,2
Easter Day,4/4/2021,2,2
Tax Day,4/15/2021,5,5
Administrative Professionals Day,4/21/2021,2,2
Mother's Day,5/9/2021,5,5
Memorial Day,5/31/2021,2,2
Father's Day,6/20/2021,2,2
Independence Day,7/4/2021,5,5
Labor Day,9/6/2021,2,2
Columbus Day,10/11/2021,2,2
Halloween,10/31/2021,5,5
Election Day,11/2/2021,2,2
Veteran's Day,11/11/2021,2,2
Thanksgiving Day,11/25/2021,10,10
Day After Thanksgiving Day,11/26/2021,10,10
Christmas Day,12/25/2021,10,5
New Year's Day,1/1/2022,1,5
Martin Luther King Day,1/17/2022,2,2
Groundhog Day,2/2/2022,2,2
Valentine's Day,2/14/2022,5,5
Presidents' Day,2/21/2022,2,2
St. Patrick's Day,3/17/2022,2,2
Easter Day,4/17/2022,2,2
Tax Day,4/18/2022,5,5
Administrative Professionals Day,4/27/2022,2,2
Mother's Day,5/8/2022,5,5
Memorial Day,5/30/2022,2,2
Father's Day,6/19/2022,2,2
Independence Day,7/4/2022,5,5
Labor Day,9/5/2022,2,2
Columbus Day,10/10/2022,2,2
Halloween,10/31/2022,5,5
Election Day,11/8/2022,2,2
Veteran's Day,11/11/2022,2,2
Thanksgiving Day,11/24/2022,10,10
Day After Thanksgiving Day,11/25/2022,10,10
Christmas Day,12/25/2022,10,5
New Year's Day,1/1/2023,1,5
Martin Luther King Day,1/16/2023,2,2
Groundhog Day,2/2/2023,2,2
Valentine's Day,2/14/2023,5,5
Presidents' Day,2/20/2023,2,2
St. Patrick's Day,3/17/2023,2,2
Easter Day,4/9/2023,2,2
Tax Day,4/17/2023,5,5
Administrative Professionals Day,4/26/2023,2,2
Mother's Day,5/14/2023,5,5
Memorial Day,5/29/2023,2,2
Father's Day,6/18/2023,2,2
Independence Day,7/4/2023,5,5
Labor Day,9/4/2023,2,2
Columbus Day,10/9/2023,2,2
Halloween,10/31/2023,5,5
Election Day,11/7/2023,2,2
Veteran's Day,11/11/2023,2,2
Thanksgiving Day,11/23/2023,10,10
Day After Thanksgiving Day,11/24/2023,10,10
Christmas Day,12/25/2023,10,5
New Year's Day,1/1/2024,1,5
Martin Luther King Day,1/15/2024,2,2
Groundhog Day,2/2/2024,2,2
Valentine's Day,2/14/2024,5,5
Presidents' Day,2/19/2024,2,2
St. Patrick's Day,3/17/2024,2,2
Easter Day,3/31/2024,2,2
Tax Day,4/15/2024,5,5
Administrative Professionals Day,4/24/2024,2,2
Mother's Day,5/12/2024,5,5
Memorial Day,5/27/2024,2,2
Father's Day,6/16/2024,2,2
Independence Day,7/4/2024,5,5
Labor Day,9/2/2024,2,2
Columbus Day,10/14/2024,2,2
Halloween,10/31/2024,5,5
Election Day,11/5/2024,2,2
Veteran's Day,11/11/2024,2,2
Thanksgiving Day,11/28/2024,10,10
Day After Thanksgiving Day,11/29/2024,10,10
Christmas Day,12/25/2024,10,5
New Year's Day,1/1/2025,1,5
Martin Luther King Day,1/20/2025,2,2
Groundhog Day,2/2/2025,2,2
Valentine's Day,2/14/2025,5,5
Presidents' Day,2/17/2025,2,2
St. Patrick's Day,3/17/2025,2,2
Tax Day,4/15/2025,5,5
Easter Day,4/20/2025,2,2
Administrative Professionals Day,4/23/2025,2,2
Mother's Day,5/11/2025,5,5
Memorial Day,5/26/2025,2,2
Father's Day,6/15/2025,2,2
Independence Day,7/4/2025,5,5
Labor Day,9/1/2025,2,2
Columbus Day,10/13/2025,2,2
Halloween,10/31/2025,5,5
Election Day,11/4/2025,2,2
Veteran's Day,11/11/2025,2,2
Thanksgiving Day,11/27/2025,10,10
Day After Thanksgiving Day,11/28/2025,10,10
Christmas Day,12/25/2025,10,5
New Year's Day,1/1/2026,1,5
Martin Luther King Day,1/19/2026,2,2
Groundhog Day,2/2/2026,2,2
Valentine's Day,2/14/2026,5,5
Presidents' Day,2/16/2026,2,2
St. Patrick's Day,3/17/2026,2,2
Easter Day,4/5/2026,2,2
Tax Day,4/15/2026,5,5
Administrative Professionals Day,4/22/2026,2,2
Mother's Day,5/10/2026,5,5
Memorial Day,5/25/2026,2,2
Father's Day,6/21/2026,2,2
Independence Day,7/4/2026,5,5
Labor Day,9/7/2026,2,2
Columbus Day,10/12/2026,2,2
Halloween,10/31/2026,5,5
Election Day,11/3/2026,2,2
Veteran's Day,11/11/2026,2,2
Thanksgiving Day,11/26/2026,10,10
Day After Thanksgiving Day,11/27/2026,10,10
Christmas Day,12/25/2026,10,5
